Year,FileName,Title,Citation Count
2005,2005_1_1,A Hirsch-type index for journals,297
2005,2005_1_2,Facts from text—is text mining ready to deliver?,169
2005,2005_1_3,A parameter to quantify dynamics of a researcher's scientific activity,39
2005,2005_1_4,H-index for Price medalists,35
2005,2005_1_5,Measures and mismeasures of scientific quality,22
2005,2005_1_6,Ten challenges to transform taxonomy,21
2005,2005_1_7,Hirsch Index is a creative and appealing construct but be cautious when using it to evaluate individual scholars,16
2005,2005_1_8,An index to quantify an individual's scientific research valid across disciplines,9
2005,2005_1_9,Modified index to quantify individual's scientific research output,0
2005,2005_1_10,Robert Van de Walle,0
2005,2005_2_1,"Big is (made) Beautiful Some comments about the Shanghai ranking of world-class universities Michel Zitt1/2, Ghislaine Filliatreau1",0
2005,2005_2_2,CONFERENCE CALLS,0
2005,2005_2_3,Diez retos para transformar la Taxonomía,0
2005,2005_2_4,"Temporal, categorical, and bibliographic context of scientific texts: interactions and applications",0
2005,2005_2_5,"Recensione a: Le biblioteche dell'Amministrazione centrale in Italia. Roma: AIB Lazio, SSAB, 2004",0
2005,2005_2_6,Les guies temàtiques de Psicologia de les universitats catalanes,0
2006,2006_1_1,Complex networks: Structure and dynamics,7944
2006,2006_1_2,Theory and practise of the g-index,1590
2006,2006_1_3,Comparison of the Hirsch-index with standard bibliometric indicators and with peer judgment for 147 chemistry research groups,642
2006,2006_1_4,A Hirsch-type index for journals,618
2006,2006_1_5,Is it possible to compare researchers with different scientific interests?,532
2006,2006_1_6,Journal status,451
2006,2006_1_7,An improvement of the h-index: The g-index,383
2006,2006_1_8,Using the h?index to rank influential information scientistss,350
2006,2006_1_9,The h index and career assessment by numbers,330
2006,2006_1_10,An informetric model for the Hirsch-index,324
2006,2006_2_1,On the h-index-A mathematical approach to a new measure of publication activity and citation impact,309
2006,2006_2_2,Measures for measures,280
2006,2006_2_3,On the opportunities and limitations of the H-index,232
2006,2006_2_4,An extension of the Hirsch index: Indexing scientific topics and compounds,231
2006,2006_2_5,A new Hirsch-type index saves time and works equally well as the original h-index,218
2006,2006_2_6,New developments related to the Hirsch index,188
2006,2006_2_7,Exploring the h-index at the author and journal levels using bibliometric data of productive consumer scholars and business-related journals respectively,162
2006,2006_2_8,Gender differences in publication output: towards an unbiased metric of research performance,163
2006,2006_2_9,"A new era in citation and bibliometric analyses: Web of Science, Scopus, and Google Scholar",142
2006,2006_2_10,h-index sequence and h-index matrix: Constructions and applications,116
2006,2006_3_1,Hirsch-type indices for ranking institutions scientific research output,117
2006,2006_3_2,Data-Centric Systems and Applications,978
2006,2006_3_3,Are network motifs the spandrels of cellular complexity?,85
2006,2006_3_4,Concentration of the most-cited papers in the scientific literature: analysis of journal ecosystems,76
2006,2006_3_5,"Gender Differences in Publication Output: Towards an
Unbiased Metric of Research Performance",166
2006,2006_3_6,Simple models and the corresponding h-and g-index,49
2006,2006_3_7,Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: I-the weight of international collaboration and the …,17
2006,2006_3_8,Superiority of the $ h $-index over the Impact Factor for Physics,40
2006,2006_3_9,"Open, fair, and free journal ranking for researchers",32
2006,2006_3_10,Towards a better list of citation superstars: compiling a multidisciplinary list of highly cited researchers,28
2006,2006_4_1,Use of bibliometric information to assist research policy making. A comparison of publication and citation profiles of Full and Associate Professors at a School of  …,26
2006,2006_4_2,Through a glass darkly,23
2006,2006_4_3,H ??? G ??——?????????????,77
2006,2006_4_4,The delicate topic of the impact factor,19
2006,2006_4_5,Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: II-identification of thematic nuclei of excellence in …,17
2006,2006_4_6,"The impact of tourism knowledge: Google scholar, citations and the opening up of academic space",17
2006,2006_4_7,"First CytoJournal Peer-Reviewer's Retreat in 2006–Open access, peer-review, and impact factor",15
2006,2006_4_8,Refining the h-index,13
2006,2006_4_9,El índice h de Hirsch: aportaciones a un debate,48
2006,2006_4_10,Bibliometrics as a research assessment tool: impact beyond the impact factor,42
2006,2006_5_1,Introducing the h-index in telescope statistics,10
2006,2006_5_2,Vitaly L. Ginzburg—A bibliometric study,0
2006,2006_5_3,Impacto de Autor CUIDEN Citación: Trayectorias científicas relevantes y excelencia a través del Factor h (h-index) de Hirsch en el espacio científico  …,0
2006,2006_5_4,???? ??? ?? h-??? ??? ?? ??,0
2006,2006_5_5,Georg (e) Placzek: a bibliometric study of his scientific production and its impact,5
2006,2006_5_6,Anwendungsorientierte Grundlagenforschung in der Psychologie,13
2006,2006_5_7,El factor h de Hirsch: the h-index: Una actualización sobre los métodos de evaluación de los autores y sus aportaciones en publicaciones científicas,14
2006,2006_5_8,Einige Anmerkungen zum Impact Factor,9
2006,2006_5_9,Web application to profiling scientific institutions through citation mining,4
2006,2006_6_1,Pensamiento crítico y escéptico en la bibliotecología,4
2006,2006_6_2,On the Dynamics of the $ h-$ index in Complex Networks with Coexisting Communities,3
2006,2006_6_3,"Power-law distribution of individual Hirsch indices, the comparison of merits in different fields, and the relation to a Pareto distribution",3
2006,2006_6_4,Introduction to the special section: Professional issues in psychological science and a discussion of collaboration indicators,4
2006,2006_6_5,?????????????????????,5
2006,2006_6_6,Scientific production on tetrachloro-dibenzo-dioxins: A bibliometric study,2
2006,2006_6_7,A Statistic Study for the ADBIS Period 1994-2006.,3
2006,2006_6_8,"Over centrum en periferie in de sociaal-geografische wetenschappen, met bijzondere aandacht voor de positie van de Vlaamse en Nederlandse geografen",2
2006,2006_6_9,"Science Citation Index"": Un estudio de caso",4
2006,2006_6_10,Some improvements on h-index: Measuring research outputs by citations,2
2006,2006_7_1,Using time dependent citation rates (sales curves) for comparing scientific impacts,2
2006,2006_7_2,EVALUATION OF ARTICLES PUBLISHED IN MENDELEY AND CROSSREF IN RELATION TO THE GOOGLE SCHOLAR PAGES,0
2006,2006_7_3,Physics in Cuba: impact from Scientific publications,0
2006,2006_7_4,The Value of Einstein's Mistakes,0
2006,2006_7_5,INSTRUCTIONS ON THE ANNOTATION OF PDF FILES,621
2006,2006_7_6,High Impact but Less Popular,0
2006,2006_7_7,Autor Impact CUIDEN Citation. Relevant scientific trajectories and excellence in the Iberoamerican scientific space to travs Hirsch's h index,0
2006,2006_7_8,Secure H-numbers,0
2006,2006_7_9,The Hirsch's h-index. An update on the author's evaluation methods and their contributions in scientific publications,0
2006,2006_8_1,Dissemination Level,134
2006,2006_8_2,"Impakt faktor–Dobrý sluha, ale špatný pán",0
2006,2006_8_3,??????? ??? ?????? ??? ?? ??,0
2006,2006_8_4,Stand up for your copyright: la prospettiva dell'autore,0
2006,2006_8_5,"Perversiones, paradojas y traumas en la evaluación cientí?ca",0
2006,2006_8_6,El índice h de Hirsh: aportaciones a un debate,0
2006,2006_8_7,??????????????? Scopus: ?????????,0
2006,2006_8_8,??????? ?????????-??????????????? ???????? ?? ??????????? ??????? ??????????? ?????????? ?????,0
2006,2006_8_9,Evolución del impacto del Boletín de la Sociedad Española de Cerámica y Vidrio,0
2006,2006_9_1,Análisis de la contribución científica,0
2007,2007_1_1,Impact of data sources on citation counts and rankings of LIS faculty: Web of Science versus Scopus and Google Scholar,770
2007,2007_1_2,Does the h index have predictive power?,670
2007,2007_1_3,"Which h-index?—A comparison of WoS, Scopus and Google Scholar",594
2007,2007_1_4,The R-and AR-indices: Complementing the h-index,564
2007,2007_1_5,What do we know about the h index?,429
2007,2007_1_6,Generalized Hirsch h-index for disclosing latent facts in citation networks,435
2007,2007_1_7,"The h-index: Advantages, limitations and its relation with other bibliometric indicators at the micro level",338
2007,2007_1_8,The rise and rise of citation analysis,295
2007,2007_1_9,Lifting the crown—citation z-score,218
2007,2007_1_10,Co-ranking authors and documents in a heterogeneous network,211
2007,2007_2_1,Scaling the h-index for different scientific ISI fields,200
2007,2007_2_2,The mismeasurement of science,200
2007,2007_2_3,A systematic analysis of Hirsch-type indices for journals,187
2007,2007_2_4,Self-citation corrections for the Hirsch index,164
2007,2007_2_5,Successive h-indices,146
2007,2007_2_6,Achievement index climbs the ranks,141
2007,2007_2_7,Using the h?index to rank influential British researchers in information science and librarianship,142
2007,2007_2_8,Hirsch-index for countries based on Essential Science Indicators data,146
2007,2007_2_9,Eminence of scientists in the light of the h-index and other scientometric indicators,130
2007,2007_2_10,Dynamic h?index: The Hirsch index in function of time,124
2007,2007_3_1,The R- and AR-indices: Complementing the h-index,568
2007,2007_3_2,The influence of missing publications on the Hirsch index,95
2007,2007_3_3,Usefulness of Hirsch'sh-index to evaluate scientific research in Spain,97
2007,2007_3_4,"On the h-index, the size of the Hirsch core and Jin's A-index",93
2007,2007_3_5,Hirsch index or Hirsch rate? Some thoughts arising from Liang's data,84
2007,2007_3_6,National scientific facilities and their science impact on nonbiomedical research,79
2007,2007_3_7,A case study of the Hirsch index for 26 non?prominent physicists,74
2007,2007_3_8,What is the future of peer review? Why is there fraud in science? Is plagiarism out of control? Why do scientists do bad things? Is it all a case of:“All that is  …,67
2007,2007_3_9,Convergent validation of peer review decisions using the h index: extent of and reasons for type I and type II errors,55
2007,2007_3_10,Clustering of scientific fields by integrating text mining and bibliometrics,57
