Year,File Name,Title,Citation Count,Single Labeled,Multi Labeled
2005,2005_1_1,A Hirsch-type index for journals,297,Use  ,Use
2005,2005_1_10,Robert Van de Walle,0,Use  Support  ,Support
2005,2005_1_2,Facts from text—is text mining ready to deliver?,169,Base  ,Base
2005,2005_1_3,A parameter to quantify dynamics of a researchers scientific activity,39,Compare  ,Compare
2005,2005_1_5,Measures and mismeasures of scientific quality,22,Neutral  ,Neutral
2005,2005_1_6,Ten challenges to transform taxonomy,21,Modify  ,Modify
2005,2005_1_7,Hirsch Index is a creative and appealing construct but be cautious when using it to evaluate individual scholars,16,Use  ,Use
2005,2005_1_8,An index to quantify an individuals scientific research valid across disciplines,9,Use  Neutral  ,Neutral
2005,2005_1_9,Modified index to quantify individuals scientific research output,0,Use  Neutral  ,Neutral
2005,2005_2_1,Big is (made) Beautiful Some comments about the Shanghai ranking of world-class universities Michel Zitt1/2 Ghislaine Filliatreau1,0,Base  ,Base
2005,2005_2_2,CONFERENCE CALLS,0,Base  ,Base
2006,2006_1_1,Complex networks: Structure and dynamics,7944,Support  ,Support
2006,2006_1_10,An informetric model for the Hirsch-index,324,Modify  ,Modify
2006,2006_1_2,Theory and practise of the g-index,1590,Use  ,Use
2006,2006_1_3,Comparison of the Hirsch-index with standard bibliometric indicators and with peer judgment for 147 chemistry research groups,642,Use  ,Use
2006,2006_1_4,A Hirsch-type index for journals,618,Neutral  ,Neutral
2006,2006_1_5,Is it possible to compare researchers with different scientific interests?,532,Motivate  ,Motivate
2006,2006_1_6,Journal status,451,Modify  ,Modify
2006,2006_1_7,An improvement of the h-index: The g-index,383,Neutral  ,Neutral
2006,2006_1_9,The h index and career assessment by numbers,330,Neutral  ,Neutral
2006,2006_2_1,On the h-index-A mathematical approach to a new measure of publication activity and citation impact,309,Use  ,Use
2006,2006_2_10,h-index sequence and h-index matrix: Constructions and applications,116,Support  ,Support
2006,2006_2_2,Measures for measures,280,Neutral  ,Neutral
2006,2006_2_4,An extension of the Hirsch index: Indexing scientific topics and compounds,231,Support  ,Support
2006,2006_2_5,A new Hirsch-type index saves time and works equally well as the original h-index,218,Support  ,Support
2006,2006_2_6,New developments related to the Hirsch index,188,Support  ,Support
2006,2006_2_8,Gender differences in publication output: towards an unbiased metric of research performance,163,Support  ,Support
2006,2006_2_9,A new era in citation and bibliometric analyses: Web of Science Scopus and Google Scholar,142,Motivate  ,Motivate
2006,2006_3_1,Hirsch-type indices for ranking institutions scientific research output,117,Base  ,Base
2006,2006_3_10,Towards a better list of citation superstars: compiling a multidisciplinary list of highly cited researchers,28,Use  ,Use
2006,2006_3_2,Data-Centric Systems and Applications,978,Use  ,Use
2006,2006_3_3,Are network motifs the spandrels of cellular complexity?,85,Modify  ,Modify
2006,2006_3_4,Concentration of the most-cited papers in the scientific literature: analysis of journal ecosystems,76,Support  ,Support
2006,2006_3_5,Gender Differences in Publication Output: Towards an
Unbiased Metric of Research Performance,166,Compare  ,Compare
2006,2006_3_6,Simple models and the corresponding h-and g-index,49,Base  ,Base
2006,2006_3_7,Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: I-the weight of international collaboration and the …,17,Compare  ,Compare
2006,2006_3_8,Superiority of the $ h $-index over the Impact Factor for Physics,40,Support  ,Support
2006,2006_3_9,Open fair and free journal ranking for researchers,32,Neutral  ,Neutral
2006,2006_4_1,Use of bibliometric information to assist research policy making. A comparison of publication and citation profiles of Full and Associate Professors at a School of  …,26,Modify  ,Modify
2006,2006_4_10,Bibliometrics as a research assessment tool: impact beyond the impact factor,42,Use  ,Use
2006,2006_4_2,Through a glass darkly,23,Base  ,Base
2006,2006_4_5,Articles with authors affiliated to Brazilian institutions published from 1994 to 2003 with 100 or more citations: II-identification of thematic nuclei of excellence in …,17,Motivate  ,Motivate
2006,2006_4_6,The impact of tourism knowledge: Google scholar citations and the opening up of academic space,17,Support  ,Support
2006,2006_4_7,First CytoJournal Peer-Reviewers Retreat in 2006–Open access peer-review and impact factor,15,Support  Modify  ,Modify
2006,2006_4_8,Refining the h-index,13,Neutral  ,Neutral
2006,2006_5_1,Introducing the h-index in telescope statistics,10,Compare  ,Compare
2006,2006_5_5,Georg (e) Placzek: a bibliometric study of his scientific production and its impact,5,Motivate  ,Motivate
2006,2006_5_9,Web application to profiling scientific institutions through citation mining,4,Motivate  ,Motivate
2006,2006_6_2,On the Dynamics of the $ h-$ index in Complex Networks with Coexisting Communities,3,Modify  ,Modify
2006,2006_6_3,Power-law distribution of individual Hirsch indices the comparison of merits in different fields and the relation to a Pareto distribution,3,Use  ,Use
2006,2006_6_6,Scientific production on tetrachloro-dibenzo-dioxins: A bibliometric study,2,Compare  ,Compare
2006,2006_6_7,A Statistic Study for the ADBIS Period 1994-2006.,3,Use  ,Use
2006,2006_7_1,Using time dependent citation rates (sales curves) for comparing scientific impacts,2,Motivate  ,Motivate
2006,2006_7_2,EVALUATION OF ARTICLES PUBLISHED IN MENDELEY AND CROSSREF IN RELATION TO THE GOOGLE SCHOLAR PAGES,0,Use  Support  ,Support
2006,2006_7_3,Physics in Cuba: impact from Scientific publications,0,Base  ,Base
2006,2006_7_5,INSTRUCTIONS ON THE ANNOTATION OF PDF FILES,621,Modify  ,Modify
2006,2006_7_6,High Impact but Less Popular,0,Compare  ,Compare
2006,2006_7_7,Autor Impact CUIDEN Citation. Relevant scientific trajectories and excellence in the Iberoamerican scientific space to travs Hirschs h index,0,Support  ,Support
2006,2006_7_8,Secure H-numbers,0,Base  Use  ,Use
2006,2006_7_9,The Hirschs h-index. An update on the authors evaluation methods and their contributions in scientific publications,0,Motivate  ,Motivate
2006,2006_8_1,Dissemination Level,134,Motivate  ,Motivate
2007,2007_10_10,Profiling topics on the Web for knowledge discovery,6,Base  ,Base
2007,2007_10_2,Two new discipline-independent indices to quantify individuals scientific research output,7,Use  Support  ,Support
2007,2007_10_3,Social metadata for the impact factor,7,Base  ,Base
2007,2007_10_4,Should research performance be measured unidimensionally? Evidence from rankings of academic economists,6,Compare  ,Compare
2007,2007_10_5,Hirschs index: a case study conducted at the Faculdade de Filosofia Ciências e Letras de Ribeirão Preto Universidade de São Paulo,7,Compare  ,Compare
2007,2007_10_9,A scientometric method to analyze scientific journals as exemplified by the area of information science,5,Support  ,Support
2007,2007_11_1,Using the h-index to Explore the Scientific Impact of the VLT,6,Motivate  ,Motivate
2007,2007_11_2,Generalized h-index for revealing latent facts in social networks of citations,5,Use  Support  ,Support
2007,2007_11_3,Impact factor and/or Hirsch index?,12,Modify  ,Modify
2007,2007_11_4,Centres of research excellence in economics in the republic of Ireland,4,Support  ,Support
2007,2007_11_5,Increasing discrepancy between absolute and effective indexes of research output in a Brazilian academic department,5,Neutral  ,Neutral
2007,2007_11_6,GEOGRAPHICAL KNOWLEDGE CASE STUDIES AND THE DIVISION OF LABOOUR,5,Motivate  ,Motivate
2007,2007_11_7,Citation auctions as a method to improve selection of scientific papers,3,Modify  ,Modify
2007,2007_11_8,Whats Hot in Psychology?,2,Compare  ,Compare
2007,2007_11_9,Scientific indicators of productivity: Time for action,3,Use  ,Use
2007,2007_12_1,Hungary-and Tibor Braun-on top,3,Use  ,Use
2007,2007_13_4,The problematic ratings game in modern science,2,Use  ,Use
2007,2007_13_5,Multidimensional fuzzy integrals,2,Modify  ,Modify
2007,2007_13_7,Bibliometrie zwischen Forschung und Dienstleistung,3,Modify  ,Modify
2007,2007_14_4,Characterization of researchers in condensed matter physics using simple quantity based on h-index,1,Use  ,Use
2007,2007_14_5,What impact? Whose value? Citation metrics in a work-flow perspective.,1,Base  ,Base
2007,2007_14_6,Soil bibliometrics: the h index,1,Base  ,Base
2007,2007_14_7,Chinese Journal of Chemistrys Hirsch Index: A Case Study of 1995-2005.,1,Modify  ,Modify
2007,2007_15_4,Published in: Proceedings of ISSI 2007 (D. Torres-Salinas & HF Moed eds.). Madrid: CINDOC-CSIC pp. 514-522,0,Use  ,Use
2007,2007_15_6,DEVELOPMENT OF GENERAL-PURPOSE AND SPECIALIZED WEB SEARCH ENGINE,0,Use  Modify  ,Modify
2007,2007_16_1,in conversation with rU researchers: What makes a good scientist?,0,Modify  ,Modify
2007,2007_16_10,A Robust Benchmark for the h- and g-Indexes,13,Motivate  ,Motivate
2007,2007_16_2,A Higher Degree of Difficulty,0,Motivate  ,Motivate
2007,2007_16_3,Intimology and the search for cognitive mechanisms.,0,Neutral  ,Neutral
2007,2007_16_4,How do ecological journals stack-up? Ranking of scientific quality according to the h index,40,Support  ,Support
2007,2007_16_5,ACADEMIC QUALITY POWER AND STABILITY: AN APPLICATION TO ECONOMICS IN THE REPUBLIC OF IRELAND,0,Use  ,Use
2007,2007_16_7,Dynamics of message interchange between stochastic units in the contexts of human communication behaviour and spiking neurons,0,Support  ,Support
2007,2007_16_8,12th International Conference on High Pressure Semiconductor Physics (HPSP?12): Concluding remarks,0,Use  Neutral  ,Neutral
2007,2007_16_9,Centres of Research Excellence in Economics in the Republic of Ireland. WP180. May 2007,0,Base  ,Base
2007,2007_17_1,CONSOLIDER-INGENIO 2010 2007 CALL Second phase Technical Report of the Research Activity Programme Multimodal Interaction in Pattern Recognition  …,0,Use  ,Use
2007,2007_17_3,Selecting Scientific Papers for Publication via Citation Auctions,10,Neutral  ,Neutral
2007,2007_17_4,Academic Program Review University of New Mexico,377,Neutral  ,Neutral
2007,2007_17_5,The Structural Equation Analysis on the Journal Citation Impact in the Field of Library and Information Science.,0,Support  ,Support
2007,2007_1_1,Impact of data sources on citation counts and rankings of LIS faculty: Web of Science versus Scopus and Google Scholar,770,Motivate  ,Motivate
2007,2007_1_10,Co-ranking authors and documents in a heterogeneous network,211,Base  ,Base
2007,2007_1_2,Does the h index have predictive power?,670,Base  ,Base
2007,2007_1_3,Which h-index?—A comparison of WoS Scopus and Google Scholar,594,Support  ,Support
2007,2007_1_5,What do we know about the h index?,429,Compare  ,Compare
2007,2007_1_6,Generalized Hirsch h-index for disclosing latent facts in citation networks,435,Use  Motivate  ,Motivate
2007,2007_1_7,The h-index: Advantages limitations and its relation with other bibliometric indicators at the micro level,338,Modify  ,Modify
2007,2007_1_8,The rise and rise of citation analysis,295,Neutral  ,Neutral
